Shipment_ID,Origin_Warehouse,Destination,Carrier,Shipment_Date,Delivery_Date,Weight_kg,Cost,Status,Distance_miles,Transit_Days
SH10000,Warehouse_MIA,San Francisco,UPS,2023-10-02,2023-10-04,25.7,67.46,Delivered,291,2
SH10001,Warehouse_MIA,Atlanta,DHL,2023-12-06,2023-12-09,38.9,268.85,Delivered,1225,3
SH10002,Warehouse_LA,Houston,DHL,2023-09-18,2023-09-20,37.2,74.35,Delivered,220,2
SH10003,Warehouse_BOS,Seattle,OnTrac,2023-01-26,2023-02-04,42.6,187.04,Delivered,1156,9
SH10004,Warehouse_SF,Dallas,OnTrac,2023-06-03,2023-06-06,7.9,120.01,Delivered,1017,3
SH10005,Warehouse_ATL,New York,FedEx,2023-09-13,2023-09-16,9.1,143.26,Delivered,898,3
SH10006,Warehouse_BOS,Houston,UPS,2023-10-19,2023-10-23,0.4,225.23,Delivered,1522,4
SH10007,Warehouse_CHI,Portland,Amazon Logistics,2023-02-27,2023-03-08,16.7,281.23,Delivered,2013,9
SH10008,Warehouse_HOU,Detroit,Amazon Logistics,2023-11-24,2023-12-01,15.1,341.93,Delivered,2072,7
SH10009,Warehouse_SF,Detroit,LaserShip,2023-01-19,2023-01-21,27.7,55.24,Delivered,214,2
SH10010,Warehouse_MIA,Chicago,FedEx,2023-02-02,2023-02-07,7.1,251.53,Delivered,1736,5
SH10011,Warehouse_ATL,Boston,Amazon Logistics,2023-05-28,2023-06-04,38.2,357.12,Delayed,2366,6
SH10012,Warehouse_SEA,New York,FedEx,2023-08-08,2023-08-13,34.4,121.14,Delivered,650,5
SH10013,Warehouse_NYC,Phoenix,UPS,2023-12-28,2024-01-03,20.7,272.48,Delivered,1574,6
SH10014,Warehouse_BOS,Miami,FedEx,2023-07-24,2023-07-30,12.5,266.08,Delivered,1849,6
SH10015,Warehouse_DEN,Minneapolis,OnTrac,2023-05-10,2023-05-16,28.6,221.21,Delivered,1489,6
SH10016,Warehouse_CHI,Detroit,USPS,2023-01-25,2023-01-26,24.1,60.27,Lost,283,1
SH10017,Warehouse_LA,San Francisco,OnTrac,2023-06-08,2023-06-11,43.2,80.6,In Transit,223,3
SH10018,Warehouse_ATL,Atlanta,OnTrac,2023-10-16,2023-10-25,6.3,124.52,Delivered,1055,9
SH10019,Warehouse_MIA,Portland,DHL,2023-01-16,2023-01-21,51.2,290.72,Delivered,1660,5
SH10020,Warehouse_MIA,Miami,FedEx,2023-08-10,2023-07-11,7.8,216.42,Delivered,1696,5
SH10021,Warehouse_SEA,Houston,LaserShip,2023-08-23,2023-08-27,29.6,216.63,Returned,1407,4
SH10022,Warehouse_CHI,San Francisco,USPS,2023-07-21,2023-07-23,15.2,67.11,Delivered,440,2
SH10023,Warehouse_SEA,Los Angeles,DHL,2023-10-26,2023-10-29,22.2,228.57,Delivered,1402,3
SH10024,Warehouse_DEN,Phoenix,USPS,2023-08-11,2023-08-15,5.3,37.32,Delivered,256,4
SH10025,Warehouse_NYC,Portland,UPS,2023-04-27,2023-04-29,40.0,124.29,Delivered,519,2
SH10026,Warehouse_DEN,Miami,UPS,2023-12-30,2024-01-01,8.7,73.52,Delivered,386,2
SH10027,Warehouse_DEN,Boston,USPS,2023-12-30,2024-01-05,10.1,309.59,Delayed,1986,5
SH10028,Warehouse_SF,Dallas,LaserShip,2023-12-15,2023-12-20,22.8,373.64,Delivered,2229,5
SH10029,Warehouse_SEA,Chicago,DHL,2023-06-27,2023-07-03,13.0,347.94,Delivered,2310,6
SH10030,Warehouse_SF,San Francisco,LaserShip,2023-11-04,,28.5,109.33,Delivered,502,2
SH10031,Warehouse_BOS,Dallas,OnTrac,2023-07-04,2023-07-08,30.2,162.68,Delivered,1048,4
SH10032,Warehouse_CHI,New York,FedEx,2023-09-27,2023-10-01,11.3,206.19,Delivered,1551,4
SH10033,Warehouse_SF,Denver,USPS,2023-03-26,2023-04-02,15.8,66.35,Delayed,431,2
SH10034,Warehouse_SEA,Denver,OnTrac,2023-02-21,2023-02-23,10.7,76.52,Delivered,528,2
SH10035,Warehouse_BOS,Dallas,OnTrac,2023-07-16,2023-07-17,37.7,55.09,Lost,131,1
SH10036,Warehouse_ATL,Los Angeles,FedEx,2023-06-02,2023-06-18,27.9,123.81,Delayed,659,3
SH10037,Warehouse_SF,Dallas,Amazon Logistics,2023-11-06,2023-11-11,26.6,333.35,Delivered,2209,5
SH10038,Warehouse_SF,Detroit,LaserShip,2023-11-04,2023-11-10,30.7,282.71,Returned,1674,6
SH10039,Warehouse_MIA,New York,LaserShip,2023-12-08,,65.2,284.81,Delivered,1204,3
SH10040,Warehouse_BOS,Denver,Amazon Logistics,2023-10-04,2023-10-10,13.4,209.01,Delivered,1550,6
SH10041,Warehouse_NYC,Los Angeles,UPS,2023-05-13,2023-05-17,31.9,263.06,Delivered,1696,4
SH10042,Warehouse_NYC,Los Angeles,USPS,2023-12-29,2024-01-01,37.8,129.73,Delivered,660,3
SH10043,Warehouse_SEA,New York,DHL,2023-03-09,2023-03-13,17.4,194.58,Delivered,1153,4
SH10044,Warehouse_CHI,San Francisco,OnTrac,2023-05-08,2023-05-11,4.7,49.68,Delivered,343,3
SH10045,Warehouse_NYC,Miami,LaserShip,2023-04-24,2023-04-29,29.7,245.98,Delivered,1973,5
SH10046,Warehouse_LA,Los Angeles,DHL,2023-09-05,2023-09-11,9.0,356.77,Delivered,2335,6
SH10047,Warehouse_SF,Dallas,USPS,2023-01-17,2023-01-20,25.4,127.22,Delivered,816,3
SH10048,Warehouse_SF,Phoenix,LaserShip,2023-04-23,2023-04-30,14.2,248.03,Delivered,1758,7
SH10049,Warehouse_MIA,Boston,UPS,2023-01-07,2023-01-11,84.1,251.24,Delivered,1010,4
SH10050,Warehouse_MIA,New York,FedEx,2023-08-06,2023-08-22,29.5,340.07,Delayed,2396,6
SH10051,Warehouse_SEA,Minneapolis,USPS,2023-02-23,2023-02-28,19.6,156.03,Delivered,1267,5
SH10052,Warehouse_BOS,Chicago,Amazon Logistics,2023-01-27,2023-02-01,25.9,206.17,Delivered,1365,5
SH10053,Warehouse_BOS,Dallas,UPS,2023-02-18,2023-02-23,26.6,277.97,Delivered,1847,5
SH10054,Warehouse_DEN,Minneapolis,LaserShip,2023-05-11,2023-05-17,31.6,283.13,Delivered,2249,6
SH10055,Warehouse_CHI,Chicago,OnTrac,2023-09-27,2023-09-30,24.7,68.63,Delivered,342,3
SH10056,Warehouse_SF,Minneapolis,LaserShip,2023-04-14,2023-04-19,23.2,231.64,Delivered,1913,5
SH10057,Warehouse_HOU,Los Angeles,LaserShip,2023-10-26,2023-10-29,6.8,42.06,Lost,255,3
SH10058,Warehouse_SF,Los Angeles,USPS,2023-10-11,2023-10-13,8.9,78.37,Delivered,600,2
SH10059,Warehouse_BOS,San Francisco,OnTrac,2023-11-01,2023-11-06,28.5,128.94,Delivered,622,5
SH10060,Warehouse_HOU,Denver,OnTrac,2023-10-10,2023-10-13,59.8,196.89,Delivered,1030,3
SH10061,Warehouse_ATL,Chicago,LaserShip,2023-08-04,2023-08-07,9.8,93.3,Delivered,708,3
SH10062,Warehouse_SEA,Detroit,FedEx,2023-05-23,2023-06-10,61.9,316.41,Delayed,1914,5
SH10063,Warehouse_BOS,Los Angeles,UPS,2023-07-16,2023-07-19,25.6,128.53,Delivered,740,3
SH10064,Warehouse_CHI,Los Angeles,UPS,2023-10-13,2023-10-16,67.6,232.32,Delivered,1007,3
SH10065,Warehouse_LA,Miami,LaserShip,2023-04-23,2023-04-27,50.3,152.13,Delivered,864,4
SH10066,Warehouse_SF,Miami,Amazon Logistics,2023-04-03,2023-04-09,15.9,325.16,Delivered,2463,6
SH10067,Warehouse_SEA,Seattle,DHL,2023-06-11,2023-06-14,42.3,195.98,Delivered,998,3
SH10068,Warehouse_SEA,Atlanta,FedEx,2023-09-01,2023-09-09,26.2,261.81,Delivered,1801,8
SH10069,Warehouse_SEA,Houston,FedEx,2023-05-31,2023-06-04,35.7,180.2,Delivered,989,4
SH10070,Warehouse_HOU,Chicago,DHL,2023-04-17,2023-04-26,6.9,56.51,Delayed,383,3
SH10071,Warehouse_CHI,Seattle,OnTrac,2023-06-20,2023-06-25,30.7,,Delivered,2307,5
SH10072,Warehouse_NYC,Los Angeles,LaserShip,2023-03-04,2023-03-13,10.8,225.74,Delayed,1727,6
SH10073,Warehouse_LA,Seattle,USPS,2023-09-11,2023-09-14,0.6,199.78,In Transit,1135,3
SH10074,Warehouse_MIA,Phoenix,UPS,2023-02-27,2023-03-02,93.0,221.01,Delivered,757,3
SH10075,Warehouse_HOU,Dallas,OnTrac,2023-07-31,2023-08-04,35.3,261.49,Delivered,1673,4
SH10076,Warehouse_DEN,Houston,Amazon Logistics,2023-11-12,2023-11-13,25.4,85.28,Delivered,319,1
SH10077,Warehouse_CHI,Seattle,USPS,2023-07-31,2023-08-02,20.8,130.21,Lost,994,2
SH10078,Warehouse_LA,Portland,UPS,2023-11-29,2023-12-02,10.9,119.38,Delivered,612,3
SH10079,Warehouse_SF,Detroit,UPS,2023-06-30,2023-07-10,22.4,309.17,Delayed,2214,7
SH10080,Warehouse_LA,Los Angeles,LaserShip,2023-04-04,2023-04-07,15.1,152.16,Delivered,1051,3
SH10081,Warehouse_SF,New York,DHL,2023-03-14,2023-03-19,22.9,289.37,Delivered,1714,5
SH10082,Warehouse_CHI,Denver,OnTrac,2023-05-07,2023-05-09,14.1,144.14,Delivered,1000,2
SH10083,Warehouse_SF,Phoenix,LaserShip,2023-11-04,2023-11-12,9.3,333.26,Delivered,2210,8
SH10084,Warehouse_CHI,Atlanta,FedEx,2023-07-02,2023-07-06,22.9,233.89,Delivered,1510,4
SH10085,Warehouse_CHI,Los Angeles,UPS,2023-04-06,2023-04-12,31.7,282.19,Delivered,1777,6
