iter	RMSE
0	1.834561161
1	1.825353161
2	1.816313531
3	1.808061687
4	1.800171101
5	1.791562204
6	1.7833673
7	1.774771319
8	1.76584494
9	1.757726636
10	1.749861035
11	1.741488729
12	1.733942001
13	1.725574321
14	1.718188109
15	1.710718953
16	1.702796066
17	1.695360542
18	1.68774667
19	1.680304372
20	1.67320078
21	1.666374702
22	1.659147538
23	1.65190061
24	1.645075671
25	1.637860255
26	1.631027007
27	1.624770365
28	1.618258815
29	1.611527694
30	1.605156321
31	1.598368858
32	1.59229646
33	1.586649774
34	1.580976231
35	1.574970655
36	1.568641671
37	1.562671595
38	1.556614693
39	1.551622355
40	1.54593654
41	1.540538057
42	1.534879766
43	1.530931024
44	1.525408028
45	1.520596001
46	1.516057478
47	1.510965986
48	1.506036706
49	1.500867246
50	1.495810182
51	1.490982778
52	1.486654915
53	1.482036741
54	1.477411843
55	1.472798612
56	1.468743734
57	1.46435773
58	1.46019974
59	1.455897832
60	1.451973542
61	1.447614712
62	1.44367492
63	1.439844479
64	1.436315042
65	1.432583492
66	1.428643309
67	1.424949449
68	1.421600402
69	1.417876465
70	1.414289302
71	1.410575031
72	1.407928714
73	1.404265199
74	1.401290212
75	1.398238658
76	1.395041742
77	1.391915545
78	1.388684328
79	1.385560306
80	1.383441768
81	1.380541403
82	1.377276492
83	1.375131442
84	1.372485483
85	1.369743687
86	1.366868073
87	1.363954503
88	1.361214801
89	1.358494048
90	1.355823902
91	1.353328381
92	1.35104066
93	1.348263874
94	1.345610946
95	1.343081765
96	1.340692921
97	1.338180054
98	1.335640952
99	1.333171038
100	1.330947925
101	1.328564956
102	1.326432556
103	1.324342034
104	1.322067012
105	1.31987558
106	1.31752352
107	1.31535263
108	1.313446168
109	1.31142523
110	1.309432615
111	1.307539609
112	1.305432001
113	1.303582344
114	1.301653431
115	1.299795526
116	1.297862553
117	1.296014312
118	1.294208129
119	1.292423807
120	1.290712643
121	1.288968377
122	1.287223652
123	1.285668986
124	1.284152496
125	1.282652004
126	1.28104299
127	1.279854934
128	1.278765346
129	1.277156156
130	1.275704127
131	1.274233223
132	1.27276445
133	1.271667365
134	1.27028951
135	1.268961629
136	1.267607744
137	1.266132686
138	1.26491126
139	1.263690394
140	1.26275925
