iter	Passed	Remaining
0	118	59229
1	120	30081
2	123	20503
3	126	15741
4	128	12745
5	130	10734
6	131	9286
7	133	8180
8	134	7327
9	135	6644
10	136	6076
11	137	5606
12	139	5208
13	139	4853
14	140	4547
15	141	4281
16	142	4048
17	143	3839
18	144	3653
19	145	3485
20	146	3348
21	148	3221
22	149	3096
23	150	2981
24	151	2873
25	152	2776
26	153	2687
27	155	2612
28	156	2538
29	157	2468
30	158	2400
31	159	2335
32	161	2278
33	162	2221
34	162	2164
35	163	2110
36	164	2063
37	166	2020
38	167	1979
39	168	1934
40	169	1893
41	170	1854
42	171	1817
43	172	1785
44	173	1751
45	174	1718
46	175	1687
47	176	1660
48	177	1637
49	179	1613
50	180	1586
51	181	1560
52	182	1537
53	183	1512
54	184	1489
55	184	1466
56	185	1444
57	186	1424
58	187	1402
59	188	1380
60	189	1360
61	189	1341
62	190	1323
63	191	1305
64	192	1287
65	193	1269
66	193	1252
67	194	1236
68	195	1220
69	196	1204
70	196	1189
71	197	1174
72	198	1160
73	199	1146
74	199	1132
75	200	1120
76	201	1107
77	202	1095
78	203	1083
79	204	1072
80	204	1059
81	205	1048
82	206	1039
83	208	1031
84	210	1027
85	212	1020
86	213	1011
87	214	1002
88	214	991
89	215	982
90	216	972
91	217	963
92	218	954
93	218	945
94	219	935
95	220	927
96	221	919
97	221	910
98	222	902
99	223	894
100	224	886
101	225	878
102	226	872
103	227	866
104	228	860
105	229	853
106	230	846
107	231	839
108	232	832
109	232	825
110	233	818
111	234	812
112	235	805
113	236	799
114	236	793
115	237	786
116	238	781
117	239	775
118	240	769
119	241	766
120	243	761
121	244	756
122	245	751
123	245	745
124	246	740
125	247	734
126	248	729
127	249	724
128	250	719
129	250	714
130	251	709
131	252	704
132	253	699
133	254	694
134	255	689
135	255	684
136	257	681
137	258	677
138	259	672
139	259	668
140	260	663
141	261	659
142	262	655
143	263	650
144	264	646
145	264	642
146	265	638
147	266	633
148	267	629
149	268	625
150	269	621
151	269	617
152	270	613
153	271	610
154	272	607
155	273	603
156	274	599
157	275	595
158	276	592
159	277	588
160	277	585
161	278	581
162	279	578
163	280	574
164	281	571
165	282	567
166	282	564
167	283	560
168	284	557
169	285	554
170	287	552
171	288	549
172	289	546
173	289	543
174	290	539
175	291	536
176	292	533
177	293	530
178	294	527
179	294	524
180	295	521
181	296	518
182	297	515
183	298	512
184	299	509
185	299	506
186	301	504
187	302	502
188	303	499
189	304	496
190	305	493
191	305	490
192	306	487
193	307	484
194	308	482
195	309	479
196	310	476
197	310	474
198	311	471
199	312	468
200	313	466
201	314	463
202	315	461
203	317	460
204	318	457
205	319	455
206	319	452
207	320	450
208	321	447
209	322	445
210	323	442
211	323	440
212	324	437
213	325	435
214	326	432
215	327	430
216	328	427
217	328	425
218	329	423
219	330	420
220	332	419
221	333	417
222	334	415
223	335	413
224	336	410
225	336	408
226	337	406
227	338	403
228	339	401
229	340	399
230	341	397
231	341	394
232	342	392
233	343	390
234	344	388
235	345	386
236	346	384
237	347	382
238	348	380
239	349	378
240	350	376
241	351	374
242	352	372
243	353	370
244	353	368
245	354	366
246	355	364
247	356	362
248	357	360
249	358	358
250	359	356
251	359	354
252	360	352
253	362	350
254	363	348
255	364	346
256	364	345
257	365	343
258	366	341
259	367	339
260	368	337
261	369	335
262	369	333
263	370	331
264	371	329
265	372	327
266	373	325
267	373	323
268	374	321
269	375	319
270	377	318
271	378	317
272	379	315
273	380	313
274	381	311
275	382	310
276	383	308
277	383	306
278	384	304
279	385	302
280	386	300
281	386	299
282	387	297
283	388	295
284	389	293
285	390	291
286	391	290
287	392	288
288	393	287
289	393	285
290	394	283
291	395	281
292	396	280
293	397	278
294	398	276
295	398	274
296	399	273
297	400	271
298	401	269
299	402	268
300	403	266
301	403	264
302	404	263
303	406	261
304	407	260
305	408	258
306	408	257
307	409	255
308	410	253
309	411	252
310	412	250
311	413	248
312	413	247
313	414	245
314	415	244
315	416	242
316	417	240
317	417	239
318	418	237
319	419	235
320	421	234
321	422	233
322	423	231
323	424	230
324	424	228
325	425	227
326	426	225
327	427	224
328	428	222
329	429	221
330	430	219
331	430	218
332	431	216
333	432	214
334	433	213
335	434	212
336	435	210
337	436	209
338	437	207
339	438	206
340	439	205
341	440	203
342	441	202
343	442	200
344	443	199
345	444	197
346	445	196
347	445	194
348	446	193
349	447	191
350	448	190
351	449	188
352	450	187
353	451	186
354	452	184
355	453	183
356	454	182
357	455	180
358	456	179
359	457	177
360	457	176
361	458	174
362	459	173
363	460	172
364	461	170
365	462	169
366	462	167
367	463	166
368	464	164
369	465	163
370	466	162
371	467	160
372	468	159
373	469	158
374	470	156
375	471	155
376	471	153
377	472	152
378	473	151
379	474	149
380	475	148
381	476	147
382	477	145
383	478	144
384	478	143
385	480	141
386	481	140
387	482	139
388	483	137
389	484	136
390	485	135
391	485	133
392	486	132
393	487	131
394	488	129
395	489	128
396	490	127
397	490	125
398	491	124
399	492	123
400	493	121
401	494	120
402	495	119
403	496	118
404	497	116
405	498	115
406	499	114
407	499	112
408	500	111
409	501	110
410	502	108
411	503	107
412	504	106
413	505	104
414	506	103
415	506	102
416	507	101
417	508	99
418	509	98
419	511	97
420	512	96
421	512	94
422	513	93
423	514	92
424	515	90
425	516	89
426	517	88
